,Account Statements,Mobile Banking App,Rewards Programme,Balance Transfer,Current Accounts,Debit Cards,Daily Savings,Fixed Term Savings,Savings Options,ISA Accounts,Student account,Fixed-rate Credit Card,Bonds,Stock Trading and Shares,Investment Accounts,International Trading,Overdraft Protection,Trustee Banking,Personal Pension,Self-Invested Personal Pension (SIPP),Cardless Cash Withdrawal,Google/Apple Pay,Online Purchases,Cheque Payments,International Payments,Fixed Deposit,Retirement Planning Calculator,Bereavement Support,Budgeting Tools and Resources,Debt Management Services,Financial Assistance,Personalised Financial Advice,Financial Education Webinars,Mortgage Calculator,Mortgage Rates,Remortgage Options,Other Borrowing Options,Personal Loan Calculator,Digital Confidence,Student Loan Repayment,Data and Privacy Control,Fraud Alerts and Monitoring,Fund Performance,Interest Rates,Car Insurance Renewal,Life Insurance Coverage,Travel Insurance,Insurance Coverage Calculator,Claims,Credit Score
Financial Assistance,13.333333333333334,20.0,12.5,9.090909090909092,6.666666666666667,9.090909090909092,15.384615384615385,13.333333333333334,13.333333333333334,6.666666666666667,5.88235294117647,6.25,6.25,0.0,5.555555555555555,13.636363636363635,55.00000000000001,41.66666666666667,8.333333333333332,13.333333333333334,23.076923076923077,26.666666666666668,5.263157894736842,6.666666666666667,10.526315789473683,22.22222222222222,14.285714285714285,52.94117647058824,62.5,80.0,0.0,80.0,75.0,31.25,14.285714285714285,20.0,25.0,47.05882352941176,47.368421052631575,20.0,21.428571428571427,42.857142857142854,30.0,18.75,5.555555555555555,11.11111111111111,4.761904761904762,28.57142857142857,10.0,31.25
Personalised Financial Advice,20.0,18.181818181818183,20.0,0.0,10.0,22.22222222222222,15.384615384615385,15.384615384615385,20.0,8.333333333333332,18.181818181818183,7.6923076923076925,8.333333333333332,7.142857142857142,13.333333333333334,14.285714285714285,46.15384615384615,33.33333333333333,40.0,23.52941176470588,40.0,45.45454545454545,6.25,20.0,23.076923076923077,6.25,10.0,56.25,69.23076923076923,50.0,80.0,0.0,80.0,16.666666666666664,16.666666666666664,16.666666666666664,10.0,63.63636363636363,50.0,18.181818181818183,8.333333333333332,30.76923076923077,31.25,27.27272727272727,15.384615384615385,7.6923076923076925,7.142857142857142,20.0,20.0,14.285714285714285
Financial Education Webinars,8.333333333333332,9.090909090909092,6.25,11.11111111111111,7.142857142857142,0.0,8.333333333333332,7.6923076923076925,7.6923076923076925,0.0,8.333333333333332,0.0,15.384615384615385,5.88235294117647,7.142857142857142,23.52941176470588,42.857142857142854,30.0,8.333333333333332,6.666666666666667,25.0,23.076923076923077,6.25,15.384615384615385,26.666666666666668,12.5,16.666666666666664,64.28571428571429,75.0,53.333333333333336,75.0,80.0,0.0,15.384615384615385,9.090909090909092,9.090909090909092,18.181818181818183,42.857142857142854,62.5,20.0,23.076923076923077,30.76923076923077,31.57894736842105,25.0,6.666666666666667,7.142857142857142,0.0,28.57142857142857,25.0,30.0
Mortgage Calculator,14.285714285714285,26.666666666666668,27.77777777777778,7.142857142857142,21.428571428571427,20.0,10.0,26.666666666666668,13.333333333333334,15.384615384615385,7.142857142857142,33.33333333333333,14.285714285714285,7.142857142857142,11.76470588235294,15.0,26.666666666666668,6.666666666666667,10.0,18.75,27.27272727272727,13.333333333333334,9.523809523809524,22.22222222222222,17.647058823529413,43.75,41.17647058823529,11.11111111111111,37.5,33.33333333333333,31.25,16.666666666666664,15.384615384615385,0.0,81.25,63.63636363636363,31.25,64.28571428571429,18.75,7.142857142857142,25.0,11.76470588235294,25.0,41.17647058823529,18.75,17.647058823529413,5.263157894736842,38.46153846153847,5.555555555555555,29.411764705882355
Mortgage Rates,9.090909090909092,7.6923076923076925,0.0,27.27272727272727,25.0,20.0,10.0,15.384615384615385,13.333333333333334,22.22222222222222,7.6923076923076925,35.714285714285715,11.11111111111111,7.6923076923076925,6.25,21.428571428571427,15.384615384615385,0.0,9.090909090909092,14.285714285714285,18.181818181818183,15.384615384615385,11.76470588235294,15.384615384615385,14.285714285714285,40.0,6.666666666666667,5.555555555555555,12.5,27.27272727272727,14.285714285714285,16.666666666666664,9.090909090909092,81.25,0.0,69.23076923076923,35.714285714285715,36.36363636363637,18.181818181818183,23.076923076923077,30.76923076923077,0.0,14.285714285714285,46.15384615384615,26.666666666666668,18.75,14.285714285714285,8.333333333333332,5.88235294117647,23.076923076923077
Remortgage Options,23.076923076923077,18.75,23.076923076923077,44.44444444444444,0.0,22.22222222222222,7.142857142857142,8.333333333333332,27.27272727272727,18.181818181818183,12.5,41.66666666666667,9.090909090909092,7.142857142857142,17.647058823529413,7.6923076923076925,30.76923076923077,20.0,8.333333333333332,15.384615384615385,10.0,18.181818181818183,20.0,8.333333333333332,8.333333333333332,42.857142857142854,18.181818181818183,14.285714285714285,9.090909090909092,25.0,20.0,16.666666666666664,9.090909090909092,63.63636363636363,69.23076923076923,0.0,66.66666666666666,50.0,14.285714285714285,26.666666666666668,16.666666666666664,12.5,0.0,45.45454545454545,15.384615384615385,26.666666666666668,26.666666666666668,27.27272727272727,6.666666666666667,25.0
Other Borrowing Options,23.076923076923077,20.0,20.0,27.27272727272727,15.384615384615385,10.0,16.666666666666664,41.66666666666667,38.46153846153847,16.666666666666664,21.428571428571427,53.84615384615385,21.428571428571427,20.0,0.0,22.22222222222222,46.666666666666664,33.33333333333333,25.0,18.75,8.333333333333332,25.0,22.22222222222222,14.285714285714285,12.5,35.714285714285715,17.647058823529413,11.76470588235294,20.0,14.285714285714285,25.0,10.0,18.181818181818183,31.25,35.714285714285715,66.66666666666666,0.0,40.0,6.666666666666667,61.53846153846154,23.52941176470588,7.6923076923076925,20.0,26.666666666666668,15.789473684210526,18.75,17.647058823529413,15.384615384615385,7.142857142857142,23.076923076923077
Personal Loan Calculator,10.0,21.428571428571427,13.333333333333334,0.0,14.285714285714285,16.666666666666664,8.333333333333332,7.6923076923076925,23.076923076923077,26.666666666666668,0.0,23.52941176470588,6.666666666666667,6.666666666666667,0.0,10.0,30.76923076923077,12.5,18.181818181818183,23.076923076923077,7.142857142857142,11.76470588235294,5.555555555555555,13.333333333333334,6.666666666666667,18.75,43.75,12.5,50.0,61.53846153846154,47.05882352941176,63.63636363636363,42.857142857142854,64.28571428571429,36.36363636363637,50.0,40.0,0.0,33.33333333333333,27.27272727272727,8.333333333333332,14.285714285714285,35.0,23.52941176470588,25.0,15.384615384615385,7.142857142857142,33.33333333333333,0.0,15.384615384615385
Digital Confidence,16.666666666666664,35.714285714285715,18.75,18.181818181818183,0.0,8.333333333333332,0.0,10.526315789473683,0.0,12.5,6.666666666666667,6.25,11.76470588235294,5.88235294117647,0.0,10.0,31.25,15.384615384615385,9.090909090909092,6.666666666666667,21.428571428571427,17.647058823529413,21.052631578947366,0.0,13.333333333333334,6.666666666666667,20.0,44.44444444444444,43.75,43.75,47.368421052631575,50.0,62.5,18.75,18.181818181818183,14.285714285714285,6.666666666666667,33.33333333333333,0.0,11.76470588235294,60.0,46.15384615384615,23.52941176470588,31.25,5.88235294117647,16.666666666666664,0.0,27.27272727272727,11.11111111111111,28.57142857142857
Student Loan Repayment,15.384615384615385,9.090909090909092,15.384615384615385,33.33333333333333,18.181818181818183,9.090909090909092,15.384615384615385,0.0,10.0,0.0,42.857142857142854,33.33333333333333,0.0,0.0,0.0,12.5,16.666666666666664,16.666666666666664,18.181818181818183,6.666666666666667,16.666666666666664,30.76923076923077,35.714285714285715,23.076923076923077,28.57142857142857,6.25,15.384615384615385,6.666666666666667,11.76470588235294,23.076923076923077,20.0,18.181818181818183,20.0,7.142857142857142,23.076923076923077,26.666666666666668,61.53846153846154,27.27272727272727,11.76470588235294,0.0,0.0,10.0,7.6923076923076925,7.6923076923076925,28.57142857142857,21.428571428571427,31.25,22.22222222222222,6.666666666666667,0.0
