,Air Conditioners,Air Purifiers,Cameras,Chargers,Coffee Makers,Computer Mice,Cookers,Deep Fryers,Desktop Computers,Dishwashers,Drones,E-Readers,Electric Kettles,Electric Toothbrushes,Fans,Freezers,Fridges,Gaming Consoles,Graphic Cards,Hair Dryers,Headphones,Hobs,Irons,Juicers,Keyboards,Kitchen Scales,Laptops,Microphones,Microwave Ovens,Monitors,Musical Instruments,Ovens,PC Games,Phone Cases,Printers,Processors,Radiators,Radios,Scanners,Shavers,Smart Watches,Smartphones,Speakers,Stand Mixers,Tablets,Televisions,Trimmers,Vacuum Cleaners,VR Headsets,Washing Machines
Fridges,3,2,0,0,11,0,13,14,0,13,0,0,8,2,3,13,0,0,0,2,0,10,2,12,0,10,0,0,9,0,0,11,0,0,0,1,6,1,0,1,0,0,0,4,0,1,1,4,0,9
Gaming Consoles,0,0,9,7,0,10,0,0,10,0,9,7,0,3,0,0,0,0,7,0,7,1,0,0,10,0,9,9,0,8,5,1,19,2,8,8,0,9,8,0,6,7,9,1,12,5,0,0,18,0
Graphic Cards,1,1,5,5,0,9,0,1,9,1,5,7,0,2,0,1,0,7,0,0,7,0,0,0,12,0,6,5,0,8,2,1,8,2,7,8,0,3,5,0,3,5,6,1,6,3,0,1,7,1
Hair Dryers,1,4,2,1,1,1,3,2,2,1,0,0,2,18,3,0,2,0,0,0,1,1,5,0,2,1,1,0,2,2,1,1,0,1,1,1,3,1,2,12,1,1,1,1,0,2,13,3,0,3
Headphones,1,2,8,9,0,7,0,0,5,0,6,7,0,4,2,0,0,7,7,1,0,0,1,0,7,0,3,8,0,4,4,1,6,3,5,5,0,9,6,1,9,8,11,1,5,4,1,0,5,0
Hobs,2,1,1,0,12,1,13,10,0,14,1,0,7,3,2,12,10,1,0,1,0,0,1,9,0,8,0,0,11,0,0,12,1,1,0,2,4,2,2,1,1,1,0,6,1,1,1,2,1,8
Irons,4,8,2,0,4,0,3,4,0,2,0,0,5,6,6,0,2,0,0,5,1,1,0,3,1,4,0,0,4,1,0,1,0,0,0,0,5,2,1,5,1,1,0,3,0,2,6,10,0,3
Juicers,2,1,0,0,17,0,12,15,0,9,0,0,12,2,3,12,12,0,0,0,0,9,3,0,0,18,0,0,12,0,0,11,0,0,0,3,5,0,0,2,0,0,0,6,0,1,2,4,0,8
Keyboards,0,1,6,8,1,15,1,0,16,0,6,7,1,3,1,0,0,10,12,2,7,0,1,0,0,0,12,9,1,15,3,1,10,0,11,7,1,4,11,2,4,3,13,0,7,3,2,1,9,1
Kitchen Scales,1,2,0,0,17,0,14,16,0,12,0,0,14,4,2,11,10,0,0,1,0,8,4,18,0,0,0,0,12,0,0,11,0,0,0,3,3,0,0,1,0,0,0,10,0,0,2,3,0,8
Laptops,0,1,6,6,0,7,0,0,11,0,3,2,0,2,2,0,0,9,6,1,3,0,0,0,12,0,0,9,0,11,3,0,7,0,10,8,0,5,7,1,6,3,11,0,7,5,1,0,9,0
Microphones,1,2,7,8,0,7,0,0,9,0,5,7,0,2,1,0,0,9,5,0,8,0,0,0,9,0,9,0,0,7,2,1,7,2,7,7,0,8,9,0,7,4,16,0,6,6,0,0,7,0
Microwave Ovens,0,2,0,0,13,0,10,11,0,10,0,0,10,2,2,10,9,0,0,2,0,11,4,12,1,12,0,0,0,1,0,10,0,0,0,1,4,0,1,1,0,0,0,4,0,0,2,5,0,7
Monitors,0,1,2,5,1,14,1,0,13,0,3,4,1,1,1,0,0,8,8,2,4,0,1,0,15,0,11,7,1,0,2,0,9,1,10,7,1,3,12,2,4,1,8,0,7,2,2,1,7,1
Musical Instruments,0,1,6,5,0,1,0,0,3,0,7,4,0,4,2,0,0,5,2,1,4,0,0,0,3,0,3,2,0,2,0,0,6,3,2,3,1,7,3,0,3,2,4,1,5,3,1,1,5,1
Ovens,3,2,1,1,11,1,14,10,0,13,1,1,8,3,1,12,11,1,1,1,1,12,1,11,1,11,0,1,10,0,0,0,0,0,0,3,5,3,2,2,0,0,0,7,1,1,2,4,1,8
PC Games,0,0,7,5,0,10,0,0,9,0,9,8,0,3,1,0,0,19,8,0,6,1,0,0,10,0,7,7,0,9,6,0,0,3,5,8,0,8,7,0,5,7,8,1,9,3,0,0,16,0
Phone Cases,1,0,4,9,0,2,0,0,1,0,5,5,0,5,0,0,0,2,2,1,3,1,0,0,0,0,0,2,0,1,3,0,3,0,1,3,1,3,2,2,7,7,1,1,5,1,2,0,2,0
Printers,2,2,5,6,0,12,0,0,16,1,2,6,0,2,3,0,0,8,7,1,5,0,0,0,11,0,10,7,0,10,2,0,5,1,0,8,1,3,14,1,5,4,9,0,7,4,1,0,3,1
Processors,1,3,6,6,2,7,2,2,9,1,5,2,1,3,1,0,1,8,8,1,5,2,0,3,7,3,8,7,1,7,3,3,8,3,8,0,2,4,7,2,5,3,9,4,7,3,1,1,6,1
Radiators,14,15,1,0,4,0,5,4,0,5,0,0,3,4,11,5,6,0,0,3,0,4,5,5,1,3,0,0,4,1,1,5,0,1,1,2,0,2,1,5,0,0,0,3,0,1,5,10,0,8
Radios,1,1,11,5,0,3,2,1,5,0,11,5,2,4,2,0,1,9,3,1,9,2,2,0,4,0,5,8,0,3,7,3,8,3,3,4,2,0,8,1,9,5,10,1,8,8,1,2,9,0
Scanners,1,2,7,8,1,12,2,0,12,0,6,7,2,4,2,0,0,8,5,2,6,2,1,0,11,0,7,9,1,12,3,2,7,2,14,7,1,8,0,2,4,2,8,0,8,4,2,1,3,1
Shavers,3,4,2,1,2,1,3,1,1,1,0,0,2,14,2,1,1,0,0,12,1,1,5,2,2,1,1,0,1,2,0,2,0,2,1,2,5,1,2,0,1,1,1,1,0,2,18,2,0,2
Smart Watches,1,3,11,12,0,4,0,0,6,0,11,10,0,4,2,0,0,6,3,1,9,1,1,0,4,0,6,7,0,4,3,0,5,7,5,5,0,9,4,1,0,14,6,0,11,5,1,0,6,0
Smartphones,0,1,8,8,0,3,0,0,4,0,7,7,0,4,2,0,0,7,5,1,8,1,1,0,3,0,3,4,0,1,2,0,7,7,4,3,0,5,2,1,14,0,2,1,8,4,1,0,7,0
Speakers,1,2,7,9,0,9,0,0,12,0,3,6,0,2,1,0,0,9,6,1,11,0,0,0,13,0,11,16,0,8,4,0,8,1,9,9,0,10,8,1,6,2,0,0,5,5,1,0,6,0
Stand Mixers,2,1,1,1,9,0,7,8,0,6,1,0,7,2,2,2,4,1,1,1,1,6,3,6,0,10,0,0,4,0,1,7,1,1,0,4,3,1,0,1,0,1,0,0,1,2,2,5,0,4
Tablets,0,1,9,10,0,6,0,0,8,0,10,8,0,3,0,0,0,12,6,0,5,1,0,0,7,0,7,6,0,7,5,1,9,5,7,7,0,8,8,0,11,8,5,1,0,6,0,0,10,0
Televisions,3,3,9,6,1,2,0,0,3,1,4,4,0,5,3,1,1,5,3,2,4,1,2,1,3,0,5,6,0,2,3,1,3,1,4,3,1,8,4,2,5,4,5,2,6,0,2,3,5,1
Trimmers,3,4,2,2,3,2,3,1,1,1,0,0,3,15,3,1,1,0,0,13,1,1,6,2,2,2,1,0,2,2,1,2,0,2,1,1,5,1,2,18,1,1,1,2,0,2,0,4,0,3
Vacuum Cleaners,9,9,1,0,4,0,5,4,0,4,0,0,4,3,9,5,4,0,1,3,0,2,10,4,1,3,0,0,5,1,1,4,0,0,0,1,10,2,1,2,0,0,0,5,0,3,4,0,0,11
VR Headsets,0,0,8,5,0,6,0,0,7,0,9,7,0,2,0,0,0,18,7,0,5,1,0,0,9,0,9,7,0,7,5,1,16,2,3,6,0,9,3,0,6,7,6,0,10,5,0,0,0,0
Washing Machines,5,6,0,0,7,0,14,7,0,14,0,0,6,3,5,11,9,0,1,3,0,8,3,8,1,8,0,0,7,1,1,8,0,0,1,1,8,0,1,2,0,0,0,4,0,1,3,11,0,0
