,Air Conditioners,Air Purifiers,Cameras,Chargers,Coffee Makers,Computer Mice,Cookers,Deep Fryers,Desktop Computers,Dishwashers,Drones,E-Readers,Electric Kettles,Electric Toothbrushes,Fans,Freezers,Fridges,Gaming Consoles,Graphic Cards,Hair Dryers,Headphones,Hobs,Irons,Juicers,Keyboards,Kitchen Scales,Laptops,Microphones,Microwave Ovens,Monitors,Musical Instruments,Ovens,PC Games,Phone Cases,Printers,Processors,Radiators,Radios,Scanners,Shavers,Smart Watches,Smartphones,Speakers,Stand Mixers,Tablets,Televisions,Trimmers,Vacuum Cleaners,VR Headsets,Washing Machines
Air Conditioners,0,14,1,1,2,1,2,1,0,4,0,1,1,4,12,3,3,0,1,1,1,2,4,2,0,1,0,1,0,0,0,3,0,1,2,1,14,1,1,3,1,0,1,2,0,3,3,9,0,5
Air Purifiers,14,0,3,2,2,1,2,1,1,3,0,2,2,3,10,0,2,0,1,4,2,1,8,1,1,2,1,2,2,1,1,2,0,0,2,3,15,1,2,4,3,1,2,1,1,3,4,9,0,6
Cameras,1,3,0,10,0,5,0,0,6,0,10,7,0,7,2,0,0,9,5,2,8,1,2,0,6,0,6,7,0,2,6,1,7,4,5,6,1,11,7,2,11,8,7,1,9,9,2,1,8,0
Chargers,1,2,10,0,0,7,0,0,8,0,6,7,0,5,1,0,0,7,5,1,9,0,0,0,8,0,6,8,0,5,5,1,5,9,6,6,0,5,8,1,12,8,9,1,10,6,2,0,5,0
Coffee Makers,2,2,0,0,0,0,13,15,0,13,0,0,14,1,2,11,11,0,0,1,0,12,4,17,1,17,0,0,13,1,0,11,0,0,0,2,4,0,1,2,0,0,0,9,0,1,3,4,0,7
Computer Mice,1,1,5,7,0,0,0,0,12,0,4,7,0,3,1,0,0,10,9,1,7,1,0,0,15,0,7,7,0,14,1,1,10,2,12,7,0,3,12,1,4,3,9,0,6,2,2,0,6,0
Cookers,2,2,0,0,13,0,0,13,0,13,0,0,12,3,2,13,13,0,0,3,0,13,3,12,1,14,0,0,10,1,0,14,0,0,0,2,5,2,2,3,0,0,0,7,0,0,3,5,0,14
Deep Fryers,1,1,0,0,15,0,13,0,0,11,0,0,10,2,2,9,14,0,1,2,0,10,4,15,0,16,0,0,11,0,0,10,0,0,0,2,4,1,0,1,0,0,0,8,0,0,1,4,0,7
Desktop Computers,0,1,6,8,0,12,0,0,0,0,3,4,0,2,2,0,0,10,9,2,5,0,0,0,16,0,11,9,0,13,3,0,9,1,16,9,0,5,12,1,6,4,12,0,8,3,1,0,7,0
Dishwashers,4,3,0,0,13,0,13,11,0,0,0,0,9,2,1,17,13,0,1,1,0,14,2,9,0,12,0,0,10,0,0,13,0,0,1,1,5,0,0,1,0,0,0,6,0,1,1,4,0,14
Drones,0,0,10,6,0,4,0,0,3,0,0,7,0,4,0,0,0,9,5,0,6,1,0,0,6,0,3,5,0,3,7,1,9,5,2,5,0,11,6,0,11,7,3,1,10,4,0,0,9,0
E-Readers,1,2,7,7,0,7,0,0,4,0,7,0,0,3,1,0,0,7,7,0,7,0,0,0,7,0,2,7,0,4,4,1,8,5,6,2,0,5,7,0,10,7,6,0,8,4,0,0,7,0
Electric Kettles,1,2,0,0,14,0,12,10,0,9,0,0,0,1,1,9,8,0,0,2,0,7,5,12,1,14,0,0,10,1,0,8,0,0,0,1,3,2,2,2,0,0,0,7,0,0,3,4,0,6
Electric Toothbrushes,4,3,7,5,1,3,3,2,2,2,4,3,1,0,6,1,2,3,2,18,4,3,6,2,3,4,2,2,2,1,4,3,3,5,2,3,4,4,4,14,4,4,2,2,3,5,15,3,2,3
Fans,12,10,2,1,2,1,2,2,2,1,0,1,1,6,0,2,3,0,0,3,2,2,6,3,1,2,2,1,2,1,2,1,1,0,3,1,11,2,2,2,2,2,1,2,0,3,3,9,0,5
Freezers,3,0,0,0,11,0,13,9,0,17,0,0,9,1,2,0,13,0,1,0,0,12,0,12,0,11,0,0,10,0,0,12,0,0,0,0,5,0,0,1,0,0,0,2,0,1,1,5,0,11
