,Air Conditioners,Radiators,Air Purifiers,Fans,Coffee Makers,Electric Kettles,Juicers,Kitchen Scales,Deep Fryers,Cookers,Hobs,Ovens,Dishwashers,Freezers,Fridges,Microwave Ovens,Washing Machines,Irons,Vacuum Cleaners,Stand Mixers,Cameras,Televisions,Radios,Smart Watches,Smartphones,Tablets,E-Readers,Chargers,Gaming Consoles,PC Games,VR Headsets,Computer Mice,Keyboards,Monitors,Desktop Computers,Printers,Laptops,Microphones,Speakers,Scanners,Processors,Headphones,Phone Cases,Graphic Cards,Drones,Musical Instruments,Electric Toothbrushes,Hair Dryers,Shavers,Trimmers
Speakers,7.142857142857142,0.0,10.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.75,50.0,55.55555555555556,35.294117647058826,14.285714285714285,41.66666666666667,42.857142857142854,52.94117647058824,52.94117647058824,50.0,40.0,64.28571428571429,68.42105263157895,61.53846153846154,63.1578947368421,56.25,84.61538461538461,94.11764705882352,0.0,47.05882352941176,64.28571428571429,73.33333333333333,9.090909090909092,42.857142857142854,16.666666666666664,36.36363636363637,8.695652173913043,6.25,6.25,6.25
Scanners,6.25,5.88235294117647,9.523809523809524,16.666666666666664,7.142857142857142,16.666666666666664,0.0,0.0,0.0,12.5,13.333333333333334,11.76470588235294,0.0,0.0,0.0,6.666666666666667,5.88235294117647,7.142857142857142,7.142857142857142,0.0,41.17647058823529,33.33333333333333,42.10526315789473,23.52941176470588,16.666666666666664,47.05882352941176,41.17647058823529,44.44444444444444,44.44444444444444,46.666666666666664,25.0,75.0,68.75,70.58823529411765,80.0,87.5,63.63636363636363,64.28571428571429,47.05882352941176,0.0,53.84615384615385,40.0,12.5,33.33333333333333,30.0,20.0,22.22222222222222,16.666666666666664,14.285714285714285,11.76470588235294
Processors,8.333333333333332,18.181818181818183,18.75,9.090909090909092,13.333333333333334,10.0,25.0,21.428571428571427,18.181818181818183,16.666666666666664,14.285714285714285,23.076923076923077,7.142857142857142,0.0,11.11111111111111,8.333333333333332,7.6923076923076925,0.0,7.6923076923076925,50.0,42.857142857142854,37.5,30.76923076923077,41.66666666666667,33.33333333333333,58.333333333333336,25.0,50.0,66.66666666666666,53.333333333333336,50.0,70.0,50.0,63.63636363636363,81.81818181818183,72.72727272727273,72.72727272727273,70.0,64.28571428571429,53.84615384615385,0.0,41.66666666666667,37.5,61.53846153846154,50.0,25.0,20.0,10.0,16.666666666666664,7.142857142857142
Headphones,8.333333333333332,0.0,13.333333333333334,15.384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6923076923076925,0.0,0.0,0.0,0.0,0.0,10.0,0.0,9.090909090909092,61.53846153846154,40.0,60.0,64.28571428571429,61.53846153846154,41.66666666666667,58.333333333333336,69.23076923076923,46.666666666666664,42.857142857142854,41.66666666666667,46.666666666666664,43.75,33.33333333333333,38.46153846153847,45.45454545454545,37.5,66.66666666666666,73.33333333333333,40.0,41.66666666666667,0.0,33.33333333333333,41.17647058823529,46.15384615384615,33.33333333333333,23.52941176470588,8.333333333333332,7.6923076923076925,7.142857142857142
Phone Cases,9.090909090909092,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6923076923076925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,30.76923076923077,14.285714285714285,23.076923076923077,58.333333333333336,70.0,41.66666666666667,45.45454545454545,60.0,15.384615384615385,27.27272727272727,20.0,15.384615384615385,0.0,8.333333333333332,8.333333333333332,8.333333333333332,0.0,20.0,9.090909090909092,12.5,37.5,33.33333333333333,0.0,25.0,31.25,27.27272727272727,31.25,11.11111111111111,18.181818181818183,16.666666666666664
Graphic Cards,6.666666666666667,0.0,5.555555555555555,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,6.25,5.555555555555555,7.6923076923076925,0.0,0.0,7.142857142857142,0.0,6.25,7.6923076923076925,35.714285714285715,23.076923076923077,20.0,16.666666666666664,33.33333333333333,40.0,46.666666666666664,33.33333333333333,41.17647058823529,47.05882352941176,46.666666666666664,64.28571428571429,60.0,53.333333333333336,69.23076923076923,50.0,54.54545454545454,38.46153846153847,42.857142857142854,33.33333333333333,61.53846153846154,41.17647058823529,25.0,0.0,35.714285714285715,13.333333333333334,11.76470588235294,0.0,0.0,0.0
Drones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.142857142857142,62.5,36.36363636363637,57.89473684210527,57.89473684210527,50.0,55.55555555555556,46.666666666666664,35.294117647058826,45.0,52.94117647058824,56.25,23.52941176470588,37.5,20.0,18.75,12.5,25.0,31.25,16.666666666666664,30.0,50.0,46.15384615384615,31.25,35.714285714285715,0.0,53.84615384615385,19.047619047619047,0.0,0.0,0.0
Musical Instruments,0.0,7.142857142857142,6.25,18.181818181818183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333332,0.0,8.333333333333332,12.5,46.15384615384615,33.33333333333333,50.0,25.0,20.0,31.25,40.0,33.33333333333333,38.46153846153847,46.15384615384615,35.714285714285715,10.0,17.647058823529413,16.666666666666664,23.076923076923077,20.0,27.27272727272727,33.33333333333333,36.36363636363637,20.0,25.0,33.33333333333333,27.27272727272727,13.333333333333334,53.84615384615385,0.0,28.57142857142857,12.5,0.0,6.666666666666667
Electric Toothbrushes,23.52941176470588,17.391304347826086,15.0,35.294117647058826,5.263157894736842,7.6923076923076925,10.526315789473683,19.047619047619047,10.526315789473683,14.285714285714285,16.666666666666664,15.0,10.0,5.88235294117647,13.333333333333334,13.333333333333334,15.789473684210526,35.294117647058826,18.75,13.333333333333334,33.33333333333333,41.66666666666667,19.047619047619047,21.052631578947366,22.22222222222222,18.75,17.647058823529413,22.727272727272727,12.5,14.285714285714285,9.523809523809524,15.789473684210526,13.636363636363635,6.666666666666667,9.523809523809524,11.11111111111111,12.5,11.11111111111111,8.695652173913043,22.22222222222222,20.0,23.52941176470588,31.25,11.76470588235294,19.047619047619047,28.57142857142857,0.0,90.0,82.35294117647058,78.94736842105263
Hair Dryers,7.6923076923076925,21.428571428571427,26.666666666666668,27.27272727272727,7.6923076923076925,18.181818181818183,0.0,6.25,15.384615384615385,20.0,9.090909090909092,8.333333333333332,7.142857142857142,0.0,20.0,22.22222222222222,23.076923076923077,50.0,25.0,10.0,11.76470588235294,20.0,6.666666666666667,7.142857142857142,8.333333333333332,0.0,0.0,7.142857142857142,0.0,0.0,0.0,6.666666666666667,12.5,13.333333333333334,13.333333333333334,7.6923076923076925,9.090909090909092,0.0,6.25,16.666666666666664,10.0,8.333333333333332,11.11111111111111,0.0,0.0,12.5,90.0,0.0,92.3076923076923,86.66666666666667
Shavers,20.0,33.33333333333333,23.52941176470588,16.666666666666664,11.76470588235294,18.181818181818183,16.666666666666664,7.6923076923076925,7.142857142857142,20.0,7.6923076923076925,14.285714285714285,6.666666666666667,7.6923076923076925,7.6923076923076925,11.11111111111111,15.384615384615385,50.0,20.0,9.090909090909092,14.285714285714285,20.0,6.666666666666667,6.25,8.333333333333332,0.0,0.0,6.666666666666667,0.0,0.0,0.0,9.090909090909092,11.76470588235294,14.285714285714285,5.263157894736842,7.142857142857142,10.0,0.0,6.25,14.285714285714285,16.666666666666664,7.6923076923076925,18.181818181818183,0.0,0.0,0.0,82.35294117647058,92.3076923076923,0.0,100.0
Trimmers,17.647058823529413,29.411764705882355,19.047619047619047,23.076923076923077,15.789473684210526,21.428571428571427,12.5,10.0,5.88235294117647,15.789473684210526,6.666666666666667,13.333333333333334,5.0,7.142857142857142,5.88235294117647,13.333333333333334,18.75,35.294117647058826,30.76923076923077,15.384615384615385,11.76470588235294,18.181818181818183,5.88235294117647,5.88235294117647,7.6923076923076925,0.0,0.0,11.76470588235294,0.0,0.0,0.0,13.333333333333334,10.526315789473683,11.76470588235294,6.25,7.142857142857142,8.333333333333332,0.0,6.25,11.76470588235294,7.142857142857142,7.142857142857142,16.666666666666664,0.0,0.0,6.666666666666667,78.94736842105263,86.66666666666667,100.0,0.0
