,Air Conditioners,Air Purifiers,Cameras,Chargers,Coffee Makers,Computer Mice,Cookers,Deep Fryers,Desktop Computers,Dishwashers,Drones,E-Readers,Electric Kettles,Electric Toothbrushes,Fans,Freezers,Fridges,Gaming Consoles,Graphic Cards,Hair Dryers,Headphones,Hobs,Irons,Juicers,Keyboards,Kitchen Scales,Laptops,Microphones,Microwave Ovens,Monitors,Musical Instruments,Ovens,PC Games,Phone Cases,Printers,Processors,Radiators,Radios,Scanners,Shavers,Smart Watches,Smartphones,Speakers,Stand Mixers,Tablets,Televisions,Trimmers,Vacuum Cleaners,VR Headsets,Washing Machines
Hobs,15,17,13,12,17,16,13,12,14,17,16,12,10,18,12,15,13,15,13,11,13,0,11,13,14,15,10,12,13,13,13,14,14,13,15,14,16,16,15,13,16,11,16,10,15,8,15,11,14,13
Irons,12,17,11,15,16,12,16,16,11,16,15,11,13,17,10,9,14,16,15,10,10,11,0,14,16,16,10,12,13,11,9,14,15,11,11,11,13,12,14,10,16,12,13,14,11,11,17,12,14,13
Juicers,14,13,15,16,18,11,15,17,15,16,15,13,12,19,13,17,16,15,14,10,14,13,14,0,18,19,12,14,15,10,13,17,13,11,12,12,15,17,13,12,14,13,15,9,13,11,16,14,17,16
Keyboards,15,19,18,19,19,15,19,17,17,18,16,16,13,22,16,14,14,20,20,16,16,14,16,18,0,18,14,14,15,15,17,17,19,13,14,14,18,16,16,17,16,15,19,15,16,14,19,17,20,17
Kitchen Scales,17,19,18,19,19,15,19,17,16,21,18,12,15,21,15,19,15,19,17,16,16,15,16,19,18,0,15,13,16,16,14,19,17,11,16,14,15,21,17,13,19,15,19,13,18,11,20,13,19,17
Laptops,8,13,14,13,14,9,12,13,13,15,12,10,10,16,12,13,10,15,11,11,8,10,10,12,14,15,0,9,10,12,11,13,13,8,12,11,13,16,11,10,14,10,13,9,11,8,12,11,17,13
Microphones,13,15,13,13,13,12,14,15,14,14,16,14,7,18,12,13,11,15,13,11,12,12,12,14,14,13,9,0,9,10,6,13,14,10,12,10,13,15,14,11,16,11,17,9,11,10,10,12,10,14
Microwave Ovens,11,15,13,15,16,10,12,13,11,15,16,11,12,15,10,14,14,14,13,9,11,13,13,15,15,16,10,9,0,9,14,14,10,9,11,12,13,14,15,9,11,10,14,7,13,9,15,12,15,12
Monitors,13,17,13,14,13,15,16,12,14,16,15,12,13,15,11,13,13,16,15,15,12,13,11,10,15,16,12,10,9,0,12,14,16,12,13,11,16,16,17,14,16,12,13,13,16,9,17,13,13,15
Musical Instruments,13,16,13,15,14,10,14,9,13,14,13,10,12,14,11,13,12,13,15,8,12,13,9,13,17,14,11,6,14,12,0,14,13,11,10,12,14,14,15,14,12,10,11,8,16,9,15,12,14,12
Ovens,15,15,14,17,16,14,15,15,16,16,16,14,11,20,15,15,13,20,16,12,13,14,14,17,17,19,13,13,14,14,14,0,14,12,14,13,14,18,17,14,16,15,16,11,17,10,15,13,16,13
PC Games,16,21,16,14,15,17,18,15,16,15,17,15,13,21,15,13,14,19,17,17,14,14,15,13,19,17,13,14,10,16,13,14,0,11,12,15,16,17,15,16,18,13,16,15,15,12,19,17,17,14
Phone Cases,11,13,13,15,11,13,13,9,12,12,16,11,9,16,6,9,11,13,8,9,9,13,11,11,13,11,8,10,9,12,11,12,11,0,12,8,16,13,16,11,12,10,11,10,12,7,12,7,10,13
Printers,16,15,15,15,14,14,11,13,17,19,16,15,10,18,14,16,12,16,14,13,11,15,11,12,14,16,12,12,11,13,10,14,12,12,0,11,16,17,16,14,16,14,16,9,13,9,14,9,13,12
Processors,12,16,14,12,15,10,12,11,11,14,10,8,10,15,11,11,9,12,13,10,12,14,11,12,14,14,11,10,12,11,12,13,15,8,11,0,11,13,13,12,12,9,14,8,12,8,14,13,12,13
Radiators,14,18,17,18,15,17,16,12,17,18,20,13,14,23,14,16,15,20,12,14,12,16,13,15,18,15,13,13,13,16,14,14,16,16,16,11,0,18,17,15,15,14,17,13,16,9,17,14,18,17
Radios,18,18,19,18,17,14,18,16,18,19,19,16,14,21,18,21,15,20,15,15,15,16,12,17,16,21,16,15,14,16,14,18,17,13,17,13,18,0,19,15,21,15,18,11,17,9,17,16,19,18
Scanners,16,21,17,18,14,16,16,14,15,20,20,17,12,18,12,16,12,18,15,12,15,15,14,13,16,17,11,14,15,17,15,17,15,16,16,13,17,19,0,14,17,12,17,11,17,12,17,14,12,17
Shavers,15,17,14,15,17,11,15,14,19,15,14,13,11,17,12,13,13,13,15,13,13,13,10,12,17,13,10,11,9,14,14,14,16,11,14,12,15,15,14,0,16,12,16,11,14,10,18,10,14,13
Smart Watches,18,19,15,17,19,15,18,17,17,20,19,14,14,19,15,16,15,17,18,14,14,16,16,14,16,19,14,16,11,16,12,16,18,12,16,12,15,21,17,16,0,16,17,15,17,12,17,14,17,15
Smartphones,10,13,13,13,13,12,12,11,13,15,14,12,8,18,12,11,11,16,15,12,13,11,12,13,15,15,10,11,10,12,10,15,13,10,14,9,14,15,12,12,16,0,14,12,11,8,13,12,13,10
Speakers,14,20,16,17,18,14,16,16,19,20,18,14,9,23,15,15,11,17,14,16,15,16,13,15,19,19,13,17,14,13,11,16,16,11,16,14,17,18,17,16,17,14,0,12,12,10,16,12,15,18
Stand Mixers,9,15,8,11,13,14,12,11,9,12,14,9,10,15,11,6,10,15,13,10,11,10,14,9,15,13,9,9,7,13,8,11,15,10,9,8,13,11,11,11,15,12,12,0,12,9,13,11,13,10
Tablets,16,17,14,16,16,15,16,11,13,15,18,11,15,16,12,16,12,17,15,11,12,15,11,13,16,18,11,11,13,16,16,17,15,12,13,12,16,17,17,14,17,11,12,12,0,10,16,13,15,13
Televisions,8,13,10,12,13,10,8,12,8,11,11,12,6,12,10,10,9,10,13,10,10,8,11,11,14,11,8,10,9,9,9,10,12,7,9,8,9,9,12,10,12,8,10,9,10,0,11,9,12,8
Trimmers,17,21,17,17,19,15,19,17,16,20,18,15,14,19,13,14,17,16,17,15,14,15,17,16,19,20,12,10,15,17,15,15,19,12,14,14,17,17,17,18,17,13,16,13,16,11,0,13,19,16
Vacuum Cleaners,13,14,13,10,13,13,15,13,12,13,13,12,13,16,14,13,13,19,16,12,15,11,12,14,17,13,11,12,12,13,12,13,17,7,9,13,14,16,14,10,14,12,12,11,13,9,13,0,15,14
VR Headsets,14,16,18,17,19,15,16,16,15,17,16,14,14,21,16,16,16,19,15,16,12,14,14,17,20,19,17,10,15,13,14,16,17,10,13,12,18,19,12,14,17,13,15,13,15,12,19,15,0,13
Washing Machines,13,16,16,17,15,11,20,15,15,17,15,11,12,19,12,15,12,15,14,13,14,13,13,16,17,17,13,14,12,15,12,13,14,13,12,13,17,18,17,13,15,10,18,10,13,8,16,14,13,0
