,Air Conditioners,Air Purifiers,Cameras,Chargers,Coffee Makers,Computer Mice,Cookers,Deep Fryers,Desktop Computers,Dishwashers,Drones,E-Readers,Electric Kettles,Electric Toothbrushes,Fans,Freezers,Fridges,Gaming Consoles,Graphic Cards,Hair Dryers,Headphones,Hobs,Irons,Juicers,Keyboards,Kitchen Scales,Laptops,Microphones,Microwave Ovens,Monitors,Musical Instruments,Ovens,PC Games,Phone Cases,Printers,Processors,Radiators,Radios,Scanners,Shavers,Smart Watches,Smartphones,Speakers,Stand Mixers,Tablets,Televisions,Trimmers,Vacuum Cleaners,VR Headsets,Washing Machines
Air Conditioners,0,16,15,15,15,13,17,12,17,17,16,14,14,17,15,17,13,17,15,13,12,15,12,14,15,17,8,13,11,13,13,15,16,11,16,12,14,18,16,15,18,10,14,9,16,8,17,13,14,13
Air Purifiers,16,0,17,17,18,18,17,15,17,21,20,16,14,20,14,14,13,18,18,15,15,17,17,13,19,19,13,15,15,17,16,15,21,13,15,16,18,18,21,17,19,13,20,15,17,13,21,14,16,16
Cameras,15,17,0,17,15,13,16,14,16,18,16,14,13,21,12,16,11,17,14,17,13,13,11,15,18,18,14,13,13,13,13,14,16,13,15,14,17,19,17,14,15,13,16,8,14,10,17,13,18,16
Chargers,15,17,17,0,15,13,20,16,16,19,17,14,13,22,13,16,13,16,15,14,13,12,15,16,19,19,13,13,15,14,15,17,14,15,15,12,18,18,18,15,17,13,17,11,16,12,17,10,17,17
Coffee Makers,15,18,15,15,0,11,15,17,16,18,18,11,14,19,13,15,15,16,16,13,13,17,16,18,19,19,14,13,16,13,14,16,15,11,14,15,15,17,14,17,19,13,18,13,16,13,19,13,19,15
Computer Mice,13,18,13,13,11,0,13,13,13,16,17,15,10,19,12,11,13,18,14,15,15,16,12,11,15,15,9,12,10,15,10,14,17,13,14,10,17,14,16,11,15,12,14,14,15,10,15,13,15,11
Cookers,17,17,16,20,15,13,0,16,17,17,16,12,15,21,12,15,14,18,17,15,15,13,16,15,19,19,12,14,12,16,14,15,18,13,11,12,16,18,16,15,18,12,16,12,16,8,19,15,16,20
Deep Fryers,12,15,14,16,17,13,16,0,16,17,15,15,11,19,13,13,17,15,16,13,14,12,16,17,17,17,13,15,13,12,9,15,15,9,13,11,12,16,14,14,17,11,16,11,11,12,17,13,16,15
Desktop Computers,17,17,16,16,16,13,17,16,0,16,16,14,13,21,13,16,14,17,13,15,13,14,11,15,17,16,13,14,11,14,13,16,16,12,17,11,17,18,15,19,17,13,19,9,13,8,16,12,15,15
Dishwashers,17,21,18,19,18,16,17,17,16,0,20,15,14,20,16,18,14,18,18,14,16,17,16,16,18,21,15,14,15,16,14,16,15,12,19,14,18,19,20,15,20,15,20,12,15,11,20,13,17,17
Drones,16,20,16,17,18,17,16,15,16,20,0,15,14,21,14,16,16,20,14,13,13,16,15,15,16,18,12,16,16,15,13,16,17,16,16,10,20,19,20,14,19,14,18,14,18,11,18,13,16,15
E-Readers,14,16,14,14,11,15,12,15,14,15,15,0,6,17,13,13,12,15,15,13,12,12,11,13,16,12,10,14,11,12,10,14,15,11,15,8,13,16,17,13,14,12,14,9,11,12,15,12,14,11
Electric Kettles,14,14,13,13,14,10,15,11,13,14,14,6,0,13,8,13,13,15,12,11,8,10,13,12,13,15,10,7,12,13,12,11,13,9,10,10,14,14,12,11,14,8,9,10,15,6,14,13,14,12
Electric Toothbrushes,17,20,21,22,19,19,21,19,21,20,21,17,13,0,17,17,15,24,17,20,17,18,17,19,22,21,16,18,15,15,14,20,21,16,18,15,23,21,18,17,19,18,23,15,16,12,19,16,21,19
Fans,15,14,12,13,13,12,12,13,13,16,14,13,8,17,0,16,11,18,15,11,13,12,10,13,16,15,12,12,10,11,11,15,15,6,14,11,14,18,12,12,15,12,15,11,12,10,13,14,16,12
Freezers,17,14,16,16,15,11,15,13,16,18,16,13,13,17,16,0,13,17,13,12,13,15,9,17,14,19,13,13,14,13,13,15,13,9,16,11,16,21,16,13,16,11,15,6,16,10,14,13,16,15
Fridges,13,13,11,13,15,13,14,17,14,14,16,12,13,15,11,13,0,14,14,10,11,13,14,16,14,15,10,11,14,13,12,13,14,11,12,9,15,15,12,13,15,11,11,10,12,9,17,13,16,12
Gaming Consoles,17,18,17,16,16,18,18,15,17,18,20,15,15,24,18,17,14,0,17,17,15,15,16,15,20,19,15,15,14,16,13,20,19,13,16,12,20,20,18,13,17,16,17,15,17,10,16,19,19,15
Graphic Cards,15,18,14,15,16,14,17,16,13,18,14,15,12,17,15,13,14,17,0,14,17,13,15,14,20,17,11,13,13,15,15,16,17,8,14,13,12,15,15,15,18,15,14,13,15,13,17,16,15,14
Hair Dryers,13,15,17,14,13,15,15,13,15,14,13,13,11,20,11,12,10,17,14,0,12,11,10,10,16,16,11,11,9,15,8,12,17,9,13,10,14,15,12,13,14,12,16,10,11,10,15,12,16,13
Headphones,12,15,13,13,13,15,15,14,13,16,13,12,8,17,13,13,11,15,17,12,0,13,10,14,16,16,8,12,11,12,12,13,14,9,11,12,12,15,15,13,14,13,15,11,12,10,14,15,12,14
